Year,SDR (average),SDR (end year),$USD (average),USD (end year),Pound Sterling (average),Pound Sterling (end year),Deutsche Mark/Euro (average),Deutsche Mark/Euro (end year),Japanese Yen (average),Japanese Yen (end year)
1971-75,9.6233,9.7230,7.9408,7.7940,18.8000,18.7760,3.1917,3.3240,3.0000,2.7000
1975-76,10.3642,10.3750,8.6825,8.9730,18.3933,17.1900,3.4458,3.5350,3.0000,3.0000
1976-77,10.3500,10.2060,8.9775,8.8040,15.5733,15.1440,3.6308,3.6860,3.0000,3.2000
1977-78,10.1605,10.4300,8.5858,8.4340,15.4292,1,3.8358,4.1690,3.3300,3.8000
1978-79,10.4315,10.4880,8.2267,8.1500,15.9658,16.8610,4.2200,4.3640,4.0000,3.9000
1979-80,10.4936,10.2510,8.0975,8.1930,17.6550,17.7530,4.4717,4.2190,3.5800,3.3000
