Year,SDR (average),SDR (end year),$USD (average),USD (end year),Pound Sterling (average),Pound Sterling (end year),Deutsche Mark/Euro (average),Deutsche Mark/Euro (end year),Japanese Yen (average),Japanese Yen (end year)
1980-,10.1777,8.0620,7.9092,8.1900,18.5042,19.00,4.1875,3.9000,3.7500,4.0000
1981-82,10.3354,10.4030,8.9683,9.3460,17.1096,16.6520,3.8607,3.8710,3.9400,3.8000
1982-83,10.5628,10.7540,9.6660,9.9700,16.1356,14.7460,3.9600,4.1090,3.8900,4.2000
1983-84,10.9405,11.3940,10.3400,10.7070,15.4174,15.4460,3.9402,4.1340,4.3800,4.8000
1984-85,11.9328,12.3210,11.8886,12.4300,14.8668,15.4500,3.9877,4.0190,4.8700,4.9000
1985-86,12.9232,13.9860,12.2349,12.3061,16.8467,18.2500,4.5553,5.3020,5.6200,6.8000
1986-87,15.4472,16.6210,12.7782,12.8882,19.0722,20.7490,6.2970,7.1620,8.0200,8.9000
1987-88,17.1208,17.9700,12.9658,13.0318,22.0872,24.3510,7.4004,7.8070,9.4100,10.3000
1988-89,19.2619,20.2080,14.4817,15.6630,25.5959,26.3990,8.0494,8.2590,11.3000,11.8000
1989-90,21.3684,22.4090,16.6492,17.3248,26.9179,28.3010,9.0922,10.1670,11.6600,11.0000
