,index,Date,Min_Temp,Max_Temp
2118,4147,2015-10-28,-128,360
2124,4156,2015-03-18,-148,360
2129,4161,2015-03-26,-107,416
2136,4170,2015-02-13,-241,352
2145,4179,2015-02-07,-237,314
2146,4180,2015-08-09,-28,383
2157,4195,2015-03-30,-87,378
2166,4208,2015-03-31,-79,385
2176,4222,2015-05-09,-87,445
2181,4227,2015-05-31,-6,456
2196,4252,2015-09-10,-10,402
2216,4276,2015-06-15,2,401
2232,4305,2015-12-08,-219,339
2236,4310,2015-11-20,-175,342
2266,4364,2015-08-29,22,394
2270,4374,2015-10-27,-121,377
2271,4376,2015-11-24,-142,353
2274,4383,2015-07-30,17,352
2277,4391,2015-09-06,11,395
2286,4411,2015-07-24,-33,387
2333,4512,2015-09-12,-26,414
2343,4522,2015-04-01,-104,386
2373,4556,2015-07-22,-20,405
2380,4563,2015-11-18,-178,349
2394,4581,2015-12-11,-227,308
2408,4598,2015-06-08,-9,460
2419,4615,2015-06-04,-44,425
2443,4647,2015-03-25,-175,420
2462,4679,2015-02-04,-210,322
2472,4691,2015-11-25,-178,350
2473,4692,2015-05-08,-73,445
2475,4696,2015-08-01,10,394
2481,4704,2015-08-11,6,397
2482,4705,2015-11-29,-202,324
2485,4708,2015-10-20,-67,396
2491,4716,2015-02-15,-217,353
2502,4731,2015-04-28,-97,437
2541,4794,2015-08-28,11,391
2549,4815,2015-10-11,-96,395
2560,4834,2015-08-05,5,375
2566,4847,2015-05-29,-46,468
2570,4862,2015-09-05,13,382
2574,4868,2015-01-02,-224,270
2581,4883,2015-01-04,-173,292
2604,4925,2015-01-06,-247,315
2618,4972,2015-03-21,-212,402
2623,4996,2015-05-12,-69,433
2636,5028,2015-12-10,-153,317
2637,5032,2015-11-30,-210,324
2649,5062,2015-02-05,-244,311
2651,5069,2015-02-25,-156,364
2664,5117,2015-06-17,-1,427
2669,5138,2015-04-29,-62,443
2670,5149,2015-05-05,-79,446
2684,5233,2015-09-02,23,381
2701,5262,2015-05-10,-34,434
2718,5279,2015-08-31,21,380
2730,5293,2015-09-07,16,390
2740,5303,2015-06-11,-7,434
2761,5327,2015-03-19,-161,380
2771,5339,2015-01-07,-267,308
2772,5340,2015-09-09,-13,401
2799,5377,2015-06-01,-17,454
2802,5381,2015-02-10,-211,319
2803,5384,2015-03-20,-150,387
2807,5390,2015-10-26,-141,364
2816,5400,2015-02-22,-209,385
2829,5415,2015-03-28,-102,414
2830,5416,2015-01-03,-223,286
